iter	Passed	Remaining
401	16644	8197
402	16691	8159
403	16720	8111
404	16751	8065
405	16800	8027
406	16844	7987
407	16891	7948
408	16935	7908
409	16981	7869
410	17029	7831
411	17075	7791
412	17119	7751
413	17167	7712
414	17212	7672
415	17258	7633
416	17304	7593
417	17334	7547
418	17383	7509
419	17430	7470
420	17461	7424
421	17507	7384
422	17554	7345
423	17599	7305
424	17645	7265
425	17692	7226
426	17740	7187
427	17784	7147
428	17815	7101
429	17863	7062
430	17911	7023
431	17957	6983
432	18002	6943
433	18049	6903
434	18082	6858
435	18129	6819
436	18174	6779
437	18221	6739
438	18270	6700
439	18314	6659
440	18345	6614
441	18377	6569
442	18424	6529
443	18470	6489
444	18517	6449
445	18561	6409
446	18609	6369
447	18656	6329
448	18684	6283
449	18714	6238
450	18744	6192
451	18790	6152
452	18823	6108
453	18869	6068
454	18915	6027
455	18959	5987
456	19004	5946
457	19037	5902
458	19085	5862
459	19114	5817
460	19145	5772
461	19177	5728
462	19223	5688
463	19255	5643
464	19301	5603
465	19349	5564
466	19396	5524
467	19441	5483
468	19488	5443
469	19535	5403
470	19582	5363
471	19627	5322
472	19673	5282
473	19703	5237
474	19750	5197
475	19810	5160
476	19857	5120
477	19889	5076
478	19937	5036
479	19983	4995
480	20030	4955
481	20076	4915
482	20123	4874
483	20177	4835
484	20233	4797
485	20277	4756
486	20324	4715
487	20355	4671
488	20403	4631
489	20450	4590
490	20496	4550
491	20542	4509
492	20588	4468
493	20621	4424
494	20668	4384
495	20713	4343
496	20744	4299
497	20792	4258
498	20836	4217
499	20882	4176
500	20930	4135
501	20975	4094
502	21021	4053
503	21067	4012
504	21113	3971
505	21159	3930
506	21190	3887
507	21219	3842
508	21250	3799
509	21297	3758
510	21345	3717
511	21390	3676
512	21437	3635
513	21497	3596
514	21545	3556
515	21590	3514
516	21636	3473
517	21682	3432
518	21712	3388
519	21760	3347
520	21807	3306
521	21835	3262
522	21882	3221
523	21928	3180
524	21974	3139
525	22021	3098
526	22052	3054
527	22098	3013
528	22145	2972
529	22191	2930
530	22239	2889
531	22299	2850
532	22345	2808
533	22393	2767
534	22439	2726
535	22487	2685
536	22515	2641
537	22561	2600
538	22609	2558
539	22656	2517
540	22703	2476
541	22732	2432
542	22780	2391
543	22810	2348
544	22873	2308
545	22921	2267
546	22966	2225
547	23013	2183
548	23074	2143
549	23121	2101
550	23164	2060
551	23211	2018
552	23240	1975
553	23289	1933
554	23334	1891
555	23378	1850
556	23408	1807
557	23455	1765
558	23501	1723
559	23546	1681
560	23575	1638
561	23605	1596
562	23638	1553
563	23687	1511
564	23731	1470
565	23762	1427
566	23807	1385
567	23853	1343
568	23887	1301
569	23934	1259
570	23980	1217
571	24025	1176
572	24073	1134
573	24120	1092
574	24181	1051
575	24225	1009
576	24271	967
577	24317	925
578	24364	883
579	24427	842
580	24473	800
581	24504	757
582	24551	715
583	24595	673
584	24639	631
585	24687	589
586	24750	548
587	24795	506
588	24840	463
589	24871	421
590	24902	379
591	24949	337
592	24996	295
593	25041	252
594	25088	210
595	25135	168
596	25183	126
597	25230	84
598	25274	42
599	25306	0
