iter	RMSE
0	0.8678762185
1	0.8423683443
2	0.8212450711
3	0.8016690027
4	0.7846510115
5	0.7710943765
6	0.7578315124
7	0.7460825496
8	0.7374076943
9	0.7297060243
10	0.7227717759
11	0.7168563629
12	0.7112581143
13	0.7063924381
14	0.7024495581
15	0.6978318478
16	0.6943682399
17	0.6912265538
18	0.6879741523
19	0.6852169626
20	0.6827398341
21	0.6804428431
22	0.6790403145
23	0.6775955796
24	0.6756836228
25	0.6738714866
26	0.6723033522
27	0.6704981229
28	0.6690499783
29	0.6678179941
30	0.6665858455
31	0.6656267869
32	0.6646944502
33	0.6638231912
34	0.6625490415
35	0.6614400819
36	0.6606720241
37	0.6598172739
38	0.6582834884
39	0.6575512992
40	0.656891282
41	0.6563383598
42	0.6550268011
43	0.6544842785
44	0.6537310423
45	0.6532077774
46	0.6528273774
47	0.6520790191
48	0.6515341146
49	0.6503019235
50	0.6497933094
51	0.6489599402
52	0.6476003418
53	0.6469117617
54	0.6463690941
55	0.6457454556
56	0.6450914546
57	0.6446901413
58	0.6443016246
59	0.6439790463
60	0.6437077371
61	0.6432779642
62	0.6426247785
63	0.6420480371
64	0.6416070319
65	0.6413865041
66	0.6407516352
67	0.6404427013
68	0.6398853866
69	0.6391186146
70	0.6387699757
71	0.6379534568
72	0.6376638664
73	0.6373263661
74	0.6367898366
75	0.6363874667
76	0.6358434921
77	0.6354465277
78	0.6347751064
79	0.6342928165
80	0.6339978006
81	0.6332936621
82	0.6330327966
83	0.6325480824
84	0.6319481454
85	0.6315534731
86	0.6309446237
87	0.6305800219
88	0.629937712
89	0.629483013
90	0.6289598591
91	0.6288111021
92	0.6280481679
93	0.6277490916
94	0.6272412861
95	0.626624107
96	0.6261970746
97	0.6254539693
98	0.624968763
99	0.6239384203
100	0.6232481907
101	0.6230418067
102	0.6225794901
103	0.6217581042
104	0.6213573352
105	0.620913435
106	0.6206468779
107	0.6200111899
108	0.619834485
109	0.6190994554
110	0.6186762989
111	0.6177666764
112	0.6172837575
113	0.6168975444
114	0.6165010265
115	0.6158967022
116	0.6154566092
117	0.6149956845
118	0.6147975589
119	0.6142685607
120	0.6138168426
121	0.6132984019
122	0.6128676886
123	0.6126142634
124	0.6121024257
125	0.6112267391
126	0.610877144
127	0.6105549231
128	0.6100972764
129	0.6098508553
130	0.6094760557
131	0.60873047
132	0.6085237847
133	0.6080439668
134	0.6075516266
135	0.6070841187
136	0.6067247933
137	0.606167963
138	0.6054208866
139	0.6049700547
140	0.6043156736
141	0.6041563205
142	0.603879349
143	0.603367894
144	0.60322323
145	0.6026948079
146	0.6020410813
147	0.6013513321
148	0.6009783814
149	0.600171891
150	0.5999977624
151	0.5998494696
152	0.5991669609
153	0.598610057
154	0.5981055935
155	0.5974769436
156	0.5969174492
157	0.5963024434
158	0.5961527922
159	0.5958216633
160	0.5954108379
161	0.5948938191
162	0.5943411871
163	0.5942727016
164	0.5939470548
165	0.5935753621
166	0.5933592688
167	0.5928161416
168	0.5926941764
169	0.5922994121
170	0.5921031532
171	0.5917425738
172	0.5913846056
173	0.5910534301
174	0.5904820416
175	0.5899747085
176	0.5896596768
177	0.5894072557
178	0.5889855882
179	0.5888364013
180	0.5887372209
181	0.588277231
182	0.5879491659
183	0.5872286444
184	0.5868823015
185	0.5864003148
186	0.5859426804
187	0.5852144389
188	0.5849773583
189	0.5843857796
190	0.5841974149
191	0.5838326817
192	0.5833126938
193	0.5827424813
194	0.5820775294
195	0.5816892924
196	0.5814514401
197	0.5811167045
198	0.5809850781
199	0.5807539678
200	0.5804424863
201	0.5801818254
202	0.5799211687
203	0.5796923277
204	0.5795543877
205	0.5792042106
206	0.5790593135
207	0.5790141512
208	0.5788230386
209	0.5784988976
210	0.5780521558
211	0.5779042989
212	0.5775809827
213	0.5773035528
214	0.5771523028
215	0.5765036611
216	0.5761194308
217	0.5758505294
218	0.5756807147
219	0.5754800953
220	0.5754410588
221	0.5749408363
222	0.5746631277
223	0.574623901
224	0.5744327121
225	0.5741433717
226	0.573649316
227	0.5730958052
228	0.5728929703
229	0.572547177
230	0.5722137098
231	0.5717765503
232	0.571533084
233	0.5711580333
234	0.5710175899
235	0.5704568005
236	0.5703053532
237	0.5699063703
238	0.569754358
239	0.5693252634
240	0.569142965
241	0.5687452784
242	0.5686282449
243	0.5681383839
244	0.5679465924
245	0.5675193306
246	0.5672972116
247	0.5666666223
248	0.5665226623
249	0.5664812576
250	0.5661822283
251	0.565673453
252	0.5656261344
253	0.5654868473
254	0.5651997272
255	0.565185743
256	0.5648590414
257	0.5645658396
258	0.5642882905
259	0.5640180986
260	0.5634568376
261	0.5632584077
262	0.5629468493
263	0.5628535535
264	0.5626163272
265	0.5624209735
266	0.562305669
267	0.5622641408
268	0.5620201564
269	0.5618958466
270	0.561469649
271	0.5612758919
272	0.5610078352
273	0.5607707142
274	0.5607566814
275	0.5605528579
276	0.5603578087
277	0.5601284209
278	0.5599094513
279	0.5596124495
280	0.5593727457
281	0.5590252279
282	0.5589380351
283	0.5584183365
284	0.5580805661
285	0.557809067
286	0.5574787671
287	0.5570915577
288	0.556780409
289	0.5563837419
290	0.5561480658
291	0.5558072203
292	0.5555674426
293	0.5551839494
294	0.5548066354
295	0.5547177075
296	0.5543971163
297	0.5539360882
298	0.5535809666
299	0.5534949562
300	0.5531469364
301	0.5525933143
302	0.5523859445
303	0.5521168548
304	0.551895436
305	0.5517167375
306	0.5516952858
307	0.5513133917
308	0.5510433494
309	0.5507200012
310	0.5506463653
311	0.5503670912
312	0.5502227755
313	0.550062417
314	0.5497501367
315	0.5496917962
316	0.5492424329
317	0.548922526
318	0.5485193097
319	0.5483190681
320	0.5480873776
321	0.54788064
322	0.5478516808
323	0.5476704164
324	0.5472063076
325	0.5467750725
326	0.5467444315
327	0.5465909269
328	0.5464007398
329	0.546306133
330	0.5460929158
331	0.5458575576
332	0.5456593648
333	0.5454633313
334	0.5451150263
335	0.5449093372
336	0.5445363168
337	0.5444549412
338	0.5441546108
339	0.5439842578
340	0.5434234994
341	0.543343669
342	0.5429115744
343	0.5426534701
344	0.5422721815
345	0.5421904892
346	0.5418941132
347	0.5416733949
348	0.5412896192
349	0.5410537218
350	0.5407854288
351	0.5404224145
352	0.540390513
353	0.5400324431
354	0.5399789689
355	0.5399633219
356	0.5399074156
357	0.5396691373
358	0.5394959956
359	0.5391809082
360	0.5391340943
361	0.5388230174
362	0.5386347994
363	0.5385889094
364	0.5384287069
365	0.5381181138
366	0.537722027
367	0.5375169829
368	0.5371820414
369	0.5368654902
370	0.5367764359
371	0.5363327847
372	0.5361542116
373	0.5359391602
374	0.5355535893
375	0.5353049525
376	0.535216102
377	0.5351812846
378	0.5348368117
379	0.534779028
380	0.5344379357
381	0.5340246438
382	0.5338452698
383	0.5336047287
384	0.5333130152
385	0.5329411945
386	0.5328153892
387	0.5324223482
388	0.5324096686
389	0.5321751817
390	0.532167081
391	0.5318048825
392	0.5315147224
393	0.5312591943
394	0.5308520267
395	0.5308299341
396	0.530583297
397	0.5302340035
398	0.5299828391
399	0.5297974324
400	0.5295364096
401	0.5293552991
402	0.5291983005
403	0.5290622315
404	0.5287563691
405	0.5284152249
406	0.5281306352
407	0.5276762088
408	0.5273841023
409	0.5270735472
410	0.5268322227
411	0.5266118495
412	0.5263898908
413	0.5261038579
414	0.5258656796
415	0.5256876336
416	0.5256744314
417	0.5253444078
418	0.5252162343
419	0.5250302927
420	0.5248298672
421	0.524691588
422	0.5245485541
423	0.5242979181
424	0.5239737823
425	0.5236101129
426	0.5234827884
427	0.5233989325
428	0.5232453902
429	0.5230669661
430	0.5228299456
431	0.5223754863
432	0.5222414902
433	0.5222299522
434	0.5219099003
435	0.5215811679
436	0.5212865376
437	0.521280836
438	0.5210440178
439	0.5207095669
440	0.5204193488
441	0.5201102767
442	0.5197385494
443	0.5194771546
444	0.5193177211
445	0.5190753713
446	0.5187578441
447	0.5184603257
448	0.5182776819
449	0.5180958678
450	0.5177845761
451	0.5174232479
452	0.5170388854
453	0.5166618138
454	0.5164004611
455	0.5161337252
456	0.5160936783
457	0.5159807662
458	0.5158220085
459	0.5157058472
460	0.5154688036
461	0.5153219181
462	0.5152865647
463	0.515168732
464	0.5150114963
465	0.514911843
466	0.5144817197
467	0.514255517
468	0.5139265824
469	0.5137902614
470	0.5136048192
471	0.5133930459
472	0.512923717
473	0.512714949
474	0.5123736364
475	0.5122079931
476	0.5120383507
477	0.5117349586
478	0.511568343
479	0.5115489145
480	0.5112007348
481	0.5111700947
482	0.5109730956
483	0.5107138109
484	0.5105265504
485	0.5102328022
486	0.5100261326
487	0.50996779
488	0.5095998397
489	0.5094095826
490	0.5093822151
491	0.5090752551
492	0.5089304463
493	0.5086674617
494	0.5083863837
495	0.5081598314
496	0.5079314881
497	0.5076756725
498	0.5074333903
499	0.506931723
500	0.5068706045
501	0.5068463363
502	0.5068327458
503	0.5065794414
504	0.5063502672
505	0.506179091
506	0.5060295772
507	0.505922672
508	0.5056520883
509	0.5053890968
510	0.5052195375
511	0.5050307682
512	0.5048287319
513	0.5045326247
514	0.5042403198
515	0.5040537976
516	0.5036670036
517	0.5034578723
518	0.5032193758
519	0.5030986284
520	0.5028440937
521	0.5027176458
522	0.5026348198
523	0.5025191082
524	0.5023918134
525	0.502299025
526	0.5020549585
527	0.5017773183
528	0.5015333641
529	0.5015285767
530	0.5012813934
531	0.5011477046
532	0.5008562454
533	0.5007229187
534	0.5006355145
535	0.5005268417
536	0.5001642768
537	0.4999314215
538	0.4997115902
539	0.4994999802
540	0.4992151106
541	0.4989829241
542	0.49879924
543	0.4986996489
544	0.4984247807
545	0.4983228263
546	0.4980691951
547	0.4977453859
548	0.4977264802
549	0.4975127225
550	0.4973191824
551	0.4970174493
552	0.4968665044
553	0.4967302593
554	0.4965536444
555	0.4962839362
556	0.4962024151
557	0.496046562
558	0.4958086808
559	0.4954009316
560	0.4951213534
561	0.4949611305
562	0.4947745112
563	0.4945623613
564	0.4941967929
565	0.4938717181
566	0.493630809
567	0.4933068986
568	0.493117573
569	0.4928983529
570	0.4924479432
571	0.4922874168
572	0.4920630375
573	0.4917236338
574	0.4915183234
575	0.4913459849
576	0.4912941973
577	0.491176439
578	0.4909866835
579	0.490779017
580	0.4905450367
581	0.4903810455
582	0.4903618517
583	0.4901185932
584	0.4899431531
585	0.4899158785
586	0.4896369886
587	0.4894418556
588	0.4893502197
589	0.4889897288
590	0.4887307619
591	0.4885496016
592	0.488252156
593	0.4881640421
594	0.4881100679
595	0.4879853284
596	0.4878227075
597	0.4877733196
598	0.487756056
599	0.4874743738
